ISBN,url,Автор,Вес (грамм),Возрастные ограничения,Год издания,Издание,Издатель,Иллюстрации,Метки,Название,Наличие,Носитель,Описание,Оценка,Размер (мм),Рейтинг,Рекомендованный возраст,Серия,Страна происхождения,Страницы,Тип продукта,Формат,Цена,Цена (скидка),Число голосов,Читательская аудитория,Язык
9780008172145,https://shop.relod.ru/catalog-products/eleanor_oliphant_is_completely_fine_debut_bestseller_and_costa_first_novel_book_award_winner_2017/,Honeyman Gail,250,16+,2018,,Harper Collins,"['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/4af/9780008172145.jpg?1550839434308919', 'https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/6af/9780008172145_0.jpg?155083943443272']",['Хит'],Eleanor Oliphant is Completely Fine: Debut Bestseller and Costa First Novel Book Award winner 2017,В наличии,,"Дебютный бестселлер, победитель премии Costa First Novel Book Award 2017, бестселлер The Sunday Times. «Забавно , трогательно и непредсказуемо », - Джоджо Мойес. Элеанор Олифант знает, как выживать, но не жить. У Элеанор Олифант простая жизнь. Она носит одну и ту же одежду на работу каждый день, ест одно и то же блюдо на ланч и покупает те же две бутылки водки каждые выходные. Один акт доброты может разрушить стены, что Элеанор возвела вокруг себя. Теперь она должна научиться управлять своей жизнью и встретиться с прячущейся по углам тьмой, которую она раньше избегала. Перемены могут быть как хорошими, так и плохими. Но любые перемены к лучшему…правда? Удивительная история об одиночестве и силе доброты. Debut Bestseller and Costa First Novel Book Award winner 2017, The Sunday Times bestseller. ‘Funny, touching and unpredictable’ -Jojo Moyes. Eleanor Oliphant has learned how to survive - but not how to live. Eleanor Oliphant leads a simple life. She wears the same clothes to work every day, eats the same meal deal for lunch every day and buys the same two bottles of vodka to drink every weekend. Eleanor Oliphant is happy. Nothing is missing from her carefully timetabled life. Except, sometimes, everything. One simple act of kindness is about to shatter the walls Eleanor has built around herself. Now she must learn how to navigate the world that everyone else seems to take for granted - while searching for the courage to face the dark corners she’s avoided all her life. Change can be good. Change can be bad. But surely any change is better than… fine? An astonishing story that powerfully depicts the loneliness of life and the simple power of a little kindness.",5,,3.3,16+,,Соединенное Королевство,400,,Paperback,762.0,,1,,English
9780007201983,https://shop.relod.ru/catalog-products/zorro/,Allende Isabel,288,16+,2006,,Harper Collins,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/6aa/6aa1f5e8cd7b911361ab477fbc080cfd.jpg?152931678319304'],"['Sale', 'ПТВ']",Zorro,В наличии,,"Bestselling author Isabel Allende's first adult novel since 'Portrait in Sepia' - beautiful, disturbing and atmospheric. Beneath the mask, there is a man. And in his heart burns the fire of injustice ...Duels at dawn, fierce battles with pirates and impossible rescues - these are the deeds that forged the legend of Zorro. But where did the man begin? Southern California, late 18th century: Diego de la Vega is a child of two worlds, his father an aristocratic Spaniard, his mother a Shoshone warrior. Growing up he witnesses the brutual injustices dealt to Native Americans. Later, following the example of his fencing master, the young Diego joins a secret movement devoted to helping the powerless. His first steps on the road to heroism have been taken. But a great rival will emerge from the ranks of the cruel oppressors. How will Zorro defeat him? And will his childhood sweetheart Isabel claim the prize she so longs for - his true love?",0,198(д) х 129(ш) х 27(в),,16+,,Соединенное Королевство,400,,Paperback,182.0,145.6,0,General (US: Trade),English
9780199549733,https://shop.relod.ru/catalog-products/zofloya_or_the_moor_9780199549733/,Dacre Charlotte,224,16+,2008,,Oxford University Press,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/0be/0be88b5ddbe0a64baf7ea340d2e854b1.jpg?153138508122488'],"['Sale', 'ПТВ']",Zofloya: or The Moor,Под заказ,,"'Few venture as thou hast in the alarming paths of sin.' This is the final judgement of Satan on Victoria di Loredani, the heroine of Zofloya, or The Moor (1806), a tale of lust, betrayal, and multiple murder set in Venice in the last days of the fifteenth century. The novel follows Victoria's progress from spoilt daughter of indulgent aristocrats, through a period of abuse and captivity, to a career of deepening criminality conducted under Satan's watchful eye. Charlotte Dacre's narrative deftly displays her heroine's movement from the vitalized position of Ann Radcliffe's heroines to a fully conscious commitment to vice that goes beyond that of 'Monk' Lewis's deluded Ambrosio. The novel's most daring aspect is its anatomy of Victoria's intense sexual attraction to her Moorish servant Zofloya that transgresses taboos both of class and race. A minor scandal on its first publication, and a significant influence on Byron and Shelley, Zofloya has been unduly neglected. Contradicting idealized stereotypes of women's writing, the novel's portrait of indulged desire, gratuitous cruelty, and monumental self-absorption retains considerable power to disturb. The introduction to this edition, the first for nearly 200 years, examines why Zofloya deserves to be read alongside established Gothic classics as the highly original work of an intriguing and unconventional writer. ABOUT THE SERIES: For over 100 years Oxford World's Classics has made available the widest range of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, helpful notes to clarify the text, up-to-date bibliographies for further study, and much more.",0,195(д) х 129(ш) х 16(в),,16+,OWC (Oxford World Classics),Соединенное Королевство,320,,Paperback,106.0,84.8,0,,English
9780857387936,https://shop.relod.ru/catalog-products/zambezi/,Park Tony,1,16+,2015,,Quercus,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/2f0/2f0781a8ea32b28156abb9a638bb92b0.jpg?15281278228470'],[],Zambezi,Под заказ,,"Miranda, a young American research assistant, is killed by a man-eating lion. Her gruesome death leaves three people devastated: Her father, Jed Banks, an American Special Forces soldier serving in Afghanistan. Her boss, Professor Christine Wallis, a wildlife researcher in South Africa. Her lover, Hassan bin Zayid, a hotel magnate in Zambia. Driven to find out what happened, Jed, accompanied by Christine, travels to the banks of the Zambezi to investigate. Not only does Jed learn some shocking truths about the daughter he thought he knew, he begins to suspect that Christine is withholding crucial information about the events leading up to Miranda's death. Meanwhile, Hassan's grief is growing dangerously volatile ...",0,198(д) х 129(ш) х 44(в),,16+,,,544,,Paperback,1236.0,,0,,English
9781780228549,https://shop.relod.ru/catalog-products/your_royal_hostage/,Fraser Antonia,200,16+,2015,,Weidenfeld & Nicolson,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/9e9/9e9d9fcbf7d6634123fe56231fc63ddd.jpg?152777912322372'],[],Your Royal Hostage,Под заказ,,"'We don't want to hurt her. We must remember that. All of us. She is after all innocent ...Well, isn't she?' As preparations for the royal wedding advance, a secret organisation is formulating plans that will have dangerous consequences. They need a gesture that will call attention to the rights and wrongs of those who have no voice of their own. And what better way than to target the royal bride? Meanwhile, Jemima Shore is grappling with the royal wedding in her own way - as a commentator. So she happens to be on hand when things go badly wrong...",0,198(д) х 129(ш) х 22(в),,16+,,,208,,Paperback,1113.0,,0,,English
9780099589990,https://shop.relod.ru/catalog-products/young_and_prodigious_t_s_spivet/,Reif Larsen,389,16+,2014,,Vintage,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/97e/97e996c94b5570bb696624ef68d489ea.jpg?152932452026162'],[],Young and Prodigious T.S. Spivet,Под заказ,,"Dear Spivet Family, I have gone for a while to do some work. Don't worry, I'll be fine. I didn't want to bother you by telling about it ahead of time. Thank you for taking care of me. You are one of the best families in the world. Love, T.S. T.S. makes sense of his chaotic family life by drawing beautiful, meticulous maps kept in innumerable colour-coded notebooks. He is brilliant, and the Smithsonian Institution agrees, though when they award him a major scientific prize they don't suspect for a moment that he is twelve years old. So begins T.S.'s life-changing adventure, travelling two thousand miles across America to reach the awards dinner, the secret-society membership and the TV interviews that beckon. But is this what he wants? Do maps and lists explain the world? And why are adults so strange?",0,190(д) х 140(ш) х 28(в),,16+,,,400,,Paperback,871.0,,0,,English
9780099578048,https://shop.relod.ru/catalog-products/you_only_live_twice_9780099578048/,Fleming Ian,217,,2012,,Vintage,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/0fe/0fe26ac77301a37611a0933bfc84bd10.jpg?152775426922715'],[],You Only Live Twice,Под заказ,,"The Castle of Death shelters a poisoned garden, curated by a criminal mastermind and set atop a rocky Japanese island. Bond is shattered by the murder of his wife at the hands of Ernst Stavro Blofeld but M. gives him one last chance. To save his job, James Bond needs to infiltrate and destroy the Castle of Death in exchange for top-secret Japanese intelligence 007 must learn the skills of ninja warriors and face his ultimate enemy in a battle to the death.",0,198(д) х 131(ш) х 20(в),,,,,304,,Paperback,968.0,,0,,English
9781509898947,https://shop.relod.ru/catalog-products/you-are-dead/,James Peter,373.74,16+,2020,,Pan Macmillan,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/294/9781509898947.jpg?1588774829107636'],[],You Are Dead,Под заказ,,The eleventh Roy Grace novel by one of Britain's best-loved crime writers.,0,197(д) х 130(ш) х 10(в),,16+,,Соединенное Королевство,544,,Paperback,1023.0,,0,,English
9780575090415,https://shop.relod.ru/catalog-products/xeelee/,,1014,16+,2010,,Orion,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/2ec/2ecd507091e07b5b286217a726b22db0.jpg?152931989024133'],[],Xeelee,Под заказ,,"Stephen Baxter's epic sequence of Xeelee novels was introduced to a new generation of readers with his highly successful quartet, Destiny's Children, published by Gollancz between 2003 and 2006. But the sequence of novels began with RAFT in 1991. From there it built into perhaps the most ambitious fictitious universe ever created. Beginning with the rise and fall of sub-quantum civilisations in the first nano-seconds after the Big Bang and ending with the heat death of the universe billions of years from now the series charts the story of mankinds epic war against the ancient and unknowable alien race the Xeelee. Along the way it examines questions of physics, the nature of reality, the evolution of mankind and its possible future. It looks not just at the morality of war but at the morality of survival and our place in the universe. This is a landmark in SF.",0,234(д) х 153(ш) х 51(в),,16+,,,912,,Paperback,2474.0,,0,,English
9780008195519,https://shop.relod.ru/catalog-products/wuthering_heights_collins_classics/,Bronte Emily,310,16+,2017,,Harper Collins,['https://opt-1458870.ssl.1c-bitrix-cdn.ru/upload/iblock/34a/34aa00a61eeb0f4388606d0ad1df01a4.jpg?15314942496579'],[],Wuthering Heights (Collins Classics),Под заказ,,"HarperCollins is proud to present its range of best-loved, essential classics. ‘Is Mr. Heathcliff a man? If so, is he mad? And if not, is he a devil?’ Heathcliff, an orphan, wild and unkempt, is taken in by Mr Earnshaw and raised as his son at Wuthering Heights on the bleak Yorkshire moors. He is drawn to Earnshaw’s daughter Catherine, and as the pair grow up together they become bound by an intense and passionate love. But when Catherine’s father dies, Heathcliff is condemned to servitude, and social disparity drives a wedge between them that will eventually become their downfall. Poetic, grand in scope, and with complex ideas of morality, social codes, violence and illness, Wuthering Heights is one of the most unique and emotive Gothic novels, and is considered Emily Brontë’s masterpiece.",0,197(д) х 132(ш) х 26(в),,16+,,,368,,Paperback,865.0,,0,,English
